pub_year,13734 - Advanced Computational Techniques and Appl,12157 - Geochemistry and Geologic Mapping,10181 - Natural Language Processing Techniques,10320 - Neural Networks and Applications,10215 - Semantic Web and Ontologies,13559 - Edcuational Technology Systems,10028 - Topic Modeling,10020 - Quantum Information and Cryptography,13623 - Linguistic Studies and Language Acquisitio,11512 - Anomaly Detection Techniques and Applicati,10201 - Speech Recognition and Synthesis,11269 - Algorithms and Data Compression,10711 - Target Tracking and Data Fusion in Sensor ,11130 - Coding theory and cryptography,10100 - Metaheuristic Optimization Algorithms Rese,10639 - Advanced Software Engineering Methodologie,10682 - Quantum Computing Algorithms and Architect,13018 - Seismology and Earthquake Studies,13083 - Advanced Text Analysis Techniques,"11010 - Logic, Reasoning, and Knowledge",10862 - AI in cancer detection,11276 - Solar Radiation and Photovoltaics,10237 - Cryptography and Data Security,12031 - Speech and dialogue systems,"10126 - Logic, programming, and type systems",10820 - Fuzzy Logic and Control Systems,11598 - Internet Traffic Analysis and Secure E-vot,11975 - Evolutionary Algorithms and Applications,10764 - Privacy-Preserving Technologies in Data,13650 - Computational Physics and Python Applicati
1975,311,1846,621,928,415,5,88,280,423,49,303,440,406,473,56,83,110,473,199,384,68,314,24,315,505,87,26,130,18,476
1976,285,2094,589,857,416,9,71,291,412,34,286,446,355,481,75,127,97,558,168,384,82,399,12,249,598,134,24,126,14,423
1977,304,2196,686,922,486,15,110,293,502,44,272,430,395,454,74,130,96,517,177,404,82,437,17,329,675,149,16,136,13,520
1978,299,2304,698,1014,431,10,100,324,525,44,299,496,362,503,70,166,87,563,159,384,91,423,37,284,586,121,21,102,17,408
1979,314,2607,696,918,548,8,110,309,518,38,278,475,410,431,66,160,92,640,211,457,113,470,32,340,649,148,19,135,16,446
1980,382,2690,772,952,712,12,128,337,569,47,326,539,374,493,53,216,105,607,230,525,105,474,30,401,723,181,27,160,19,451
1981,386,2725,863,943,622,17,122,353,576,69,352,591,395,501,77,221,108,622,197,463,130,603,39,344,684,164,33,142,18,473
1982,413,2877,947,1006,778,17,141,353,617,47,382,652,451,534,59,283,106,589,229,526,151,485,61,413,779,169,30,147,16,526
1983,438,3078,958,1081,919,29,145,399,678,63,391,653,442,550,80,272,112,688,251,668,165,553,70,434,843,223,29,161,19,532
1984,530,3297,1113,1079,1010,36,157,477,677,65,432,665,385,605,98,287,110,683,246,728,122,498,69,461,924,216,39,187,15,522
1985,532,3210,1046,1232,1057,26,149,519,691,69,409,737,507,613,111,371,110,722,236,783,151,497,113,438,968,242,40,204,29,611
1986,640,3294,1344,1431,1359,35,214,629,753,81,461,853,429,632,120,389,154,719,250,957,162,459,88,533,1119,277,43,241,39,663
1987,740,3479,1323,1777,1538,31,182,686,901,103,617,891,481,690,163,455,162,795,242,1092,197,449,147,620,1177,337,38,305,18,729
1988,786,3469,1516,2275,1726,41,236,714,890,78,646,1019,503,752,168,614,156,724,288,1279,233,494,128,669,1452,475,40,306,29,754
1989,835,3467,1620,2789,1870,36,292,735,913,103,826,1110,576,797,197,666,192,754,282,1263,212,407,146,777,1468,518,50,305,41,821
1990,939,3756,1916,3299,2134,38,313,864,1049,109,911,1123,685,885,233,594,190,915,332,1402,284,497,187,858,1587,687,60,408,42,869
1991,1034,3577,1919,4124,2173,54,343,938,1066,134,1023,1335,762,900,298,655,213,960,340,1629,256,463,170,846,1636,937,70,400,32,839
1992,1056,3726,2172,4381,2340,38,469,1116,1183,141,1029,1434,743,1045,326,827,214,902,332,1746,389,468,200,985,1788,1139,69,504,35,925
1993,1149,4227,2239,4402,2573,65,421,1183,1199,181,1081,1503,751,1073,411,754,274,1030,348,1980,398,473,265,1011,1838,1237,93,496,44,976
1994,1188,3846,2616,4953,2643,68,533,1089,1413,160,1202,1664,709,1133,470,813,252,994,386,1978,360,502,272,1171,1903,1416,108,638,55,972
1995,1168,4100,2345,4675,2791,67,452,1164,1500,190,1102,1624,726,1203,570,855,302,1219,366,2029,473,572,291,986,1969,1352,125,696,53,1083
1996,1316,4157,2885,5039,2899,73,597,1402,1732,202,1251,1723,826,1245,658,1000,428,1223,434,2026,578,601,363,1146,1895,1542,182,808,70,1074
1997,1479,4232,2896,5082,3108,87,662,1379,1854,237,1267,1688,868,1239,663,999,457,1063,482,1956,599,550,321,1288,1878,1520,210,865,81,1108
1998,1572,4224,3459,5126,3306,53,940,1586,2047,231,1560,1763,844,1432,720,1109,620,942,545,1942,587,583,388,1556,1957,1639,199,927,80,1203
1999,3075,4457,3340,5016,3486,95,852,1596,2243,267,1673,1892,1050,1513,906,1419,599,1042,594,2079,639,636,442,1495,2045,1955,297,1132,79,1216
2000,6885,4979,4426,5488,3821,139,1298,2089,2550,302,1712,1961,1106,1578,917,1577,941,1203,684,2042,705,689,508,1862,2092,1764,369,1100,94,1303
2001,9999,5705,4373,5018,4160,180,1229,2357,2941,358,1519,2014,1098,1822,1051,1670,1188,1664,768,2136,748,735,539,1695,2132,1798,449,1169,124,1515
2002,13777,5909,6442,17846,7173,278,1949,3134,3196,745,4783,5824,3822,4168,2736,5584,1821,1870,1288,3772,1160,985,1400,3147,4115,7081,965,3387,252,1739
2003,16702,6672,6164,10674,6774,294,1951,3554,3426,839,2915,3990,2851,3160,2058,3944,1913,2221,1292,3106,1032,1086,1327,2605,3261,3589,1110,2453,285,1756
2004,19618,6842,7233,7753,7369,409,2579,4058,4032,1105,2849,3720,2570,2956,2121,4114,2069,2012,1481,2864,1070,1124,1703,2926,2686,2664,1522,2237,402,1607
2005,23024,6923,7451,10159,8414,541,2767,4714,3972,1402,3622,4184,3644,3611,2507,4528,2662,2205,1643,3179,1447,1117,1991,2875,3026,3426,1782,2729,528,1962
2006,25720,7795,8477,9903,8974,737,3250,5078,4537,1783,3533,4310,4134,3732,3061,4972,2725,2352,2017,3235,1574,1215,2486,3162,2922,3353,2421,2991,762,1956
2007,27830,7807,9014,8743,9729,902,3581,5525,4964,1845,3455,4167,4103,3720,3339,5003,2736,2396,2295,3292,1573,1126,2754,3196,3028,3212,2516,3024,1003,2047
2008,28305,8387,9935,8973,10359,1604,4329,5736,5129,2307,3717,4154,4593,3802,3622,5221,3013,2727,2768,3369,1760,1491,2954,3269,2873,3305,2912,2966,1132,2145
2009,29175,9344,10334,9348,10230,1900,4497,5844,5192,2615,3583,4200,4961,3881,4307,5016,3038,3360,3117,3265,1761,1714,3288,3335,2907,3264,3159,3170,1380,2341
2010,28733,10116,11211,9604,10885,2748,5224,5952,5457,2938,4050,4556,5375,4097,4698,5305,3164,3371,3467,3280,2065,2293,3544,3599,2966,3521,3357,3311,1775,2496
2011,24794,9802,11255,9190,10122,3457,5199,6288,5750,3098,3925,4348,5560,4166,4418,5021,3232,3434,3563,3311,2214,2434,3594,3346,2773,3524,3326,3218,2001,2676
2012,20378,10883,11671,8657,10006,4484,5773,6533,6120,3372,4135,4452,5341,4277,4637,4975,3456,3811,3736,3067,2356,3039,3957,3463,2764,3410,3562,3238,2317,2806
2013,16980,11158,11643,8584,10095,5989,6090,6846,5824,3685,4168,4528,5315,4362,4759,4459,3676,3986,4250,3124,2465,3575,4544,3349,2619,3438,3733,3315,2756,2662
2014,12154,12273,12361,8495,9610,7096,6569,6939,5978,4099,4216,4324,4950,4400,4830,4191,3940,4188,4563,2992,2612,4109,4783,3384,2544,3250,3919,3293,3237,2723
2015,8184,11501,11962,8227,9082,9338,6761,6688,6008,4410,4353,3935,4475,4204,4641,4091,3708,4136,4845,3067,2853,4082,4927,3235,2522,3142,3776,3231,3561,2941
2016,4511,11687,12521,8398,8507,10807,7794,6842,6575,4857,4396,3801,4317,4076,4394,3265,3820,4292,5342,2871,3102,4344,4737,3148,2473,2915,3884,3035,3788,3136
2017,3806,11572,11706,8542,7575,13601,7906,7115,6447,5746,4007,3556,4112,4008,4436,2889,4048,4286,5199,2669,3353,4912,4686,2753,2196,2868,3722,3097,4089,3034
2018,3807,12105,13044,9432,7231,14867,10112,7258,6058,7161,4608,3365,4275,4009,4547,2746,4466,4308,5620,2855,4196,5380,4988,3251,2375,2751,4313,3099,4729,3259
2019,3547,13887,14027,10421,6971,18226,11874,8269,5795,9252,4920,3111,4523,4168,4919,2456,5344,5494,5990,2572,5349,5683,5180,3166,1965,2815,4580,3349,5326,3471
2020,2964,12960,15362,9358,5837,18824,14063,8393,4966,11012,4998,2667,3841,4062,4917,2026,5740,4842,6048,2368,6552,5961,5259,3199,1796,2484,4918,3179,6039,3380
2021,2297,12315,15199,8877,4649,19642,16408,9057,3184,13530,5134,2429,3767,3950,5262,1792,6627,3577,5840,2483,8379,6333,5471,2963,1758,2287,5309,3144,6948,3003
2022,1967,11176,12296,7240,3285,18064,14377,9004,2033,13710,4958,1937,3537,3763,5278,1463,6394,2586,5111,1754,9168,6359,5317,2446,1335,1996,5490,2944,7706,2101
2023,2082,11123,14711,7871,3280,21076,18563,9725,2232,15580,5825,1919,3732,3739,5086,1335,7300,2570,5550,1869,10861,7045,6105,2856,1408,1942,6375,2966,9655,2416
2024,4262,12065,15438,13741,5362,18723,17435,9673,2202,18508,6480,2488,3799,3242,4408,1178,8256,3498,6295,1661,12369,6553,5636,3704,1278,2555,5153,2870,9795,3057
