pub_year,13734 - Advanced Computational Techniques and Applications,12157 - Geochemistry and Geologic Mapping,10181 - Natural Language Processing Techniques,10320 - Neural Networks and Applications,10215 - Semantic Web and Ontologies
1975,311,1846,621,928,415
1976,285,2094,589,857,416
1977,304,2196,686,922,486
1978,299,2304,698,1014,431
1979,314,2607,696,918,548
1980,382,2690,772,952,712
1981,386,2725,863,943,622
1982,413,2877,947,1006,778
1983,438,3078,958,1081,919
1984,530,3297,1113,1079,1010
1985,532,3210,1046,1232,1057
1986,640,3294,1344,1431,1359
1987,740,3479,1323,1777,1538
1988,786,3469,1516,2275,1726
1989,835,3467,1620,2789,1870
1990,939,3756,1916,3299,2134
1991,1034,3577,1919,4124,2173
1992,1056,3726,2172,4381,2340
1993,1149,4227,2239,4402,2573
1994,1188,3846,2616,4953,2643
1995,1168,4100,2345,4675,2791
1996,1316,4157,2885,5039,2899
1997,1479,4232,2896,5082,3108
1998,1572,4224,3459,5126,3306
1999,3075,4457,3340,5016,3486
2000,6885,4979,4426,5488,3821
2001,9999,5705,4373,5018,4160
2002,13777,5909,6442,17846,7173
2003,16702,6672,6164,10674,6774
2004,19618,6842,7233,7753,7369
2005,23024,6923,7451,10159,8414
2006,25720,7795,8477,9903,8974
2007,27830,7807,9014,8743,9729
2008,28305,8387,9935,8973,10359
2009,29175,9344,10334,9348,10230
2010,28733,10116,11211,9604,10885
2011,24794,9802,11255,9190,10122
2012,20378,10883,11671,8657,10006
2013,16980,11158,11643,8584,10095
2014,12154,12273,12361,8495,9610
2015,8184,11501,11962,8227,9082
2016,4511,11687,12521,8398,8507
2017,3806,11572,11706,8542,7575
2018,3807,12105,13044,9432,7231
2019,3547,13887,14027,10421,6971
2020,2964,12960,15362,9358,5837
2021,2297,12315,15199,8877,4649
2022,1967,11176,12296,7240,3285
2023,2082,11123,14711,7871,3280
2024,4262,12065,15438,13741,5362
