node_id,node_label,out_weight_sum,in_weight_sum,out_degree_nonzero,in_degree_nonzero,self_loop_weight
0,10020,0.9999998385,0.1620619448,77,77,4.600096509e-05
1,10028,1.000000088,0.1615484724,77,77,0.0004104292602
2,10100,1.000000093,0.2996888085,77,77,7.401545736e-05
3,10126,0.9999998998,0.1601681231,77,77,0.0008786506951
4,10181,0.9999999064,0.1594314823,77,77,0.002416037722
5,10201,1.000000066,0.3364474431,77,77,0.009691210464
6,10215,1.000000048,0.1644300355,77,77,0.0001534481125
7,10237,0.9999998722,0.1644166595,77,77,0.0001284426835
8,10320,1.00000003,0.20153288,77,77,0.0009879200952
9,10456,0.9999996574,0.2174433072,77,77,0.001056729234
10,10462,0.999999874,0.2491626681,77,77,0.003266347107
11,10637,0.999999793,1.59416282,77,77,0.001197028439
12,10639,0.9999999772,0.1597167451,77,77,0.002430226188
13,10664,1.000000149,0.3943444236,77,77,0.001649418846
14,10682,0.9999999283,0.1734203315,77,77,0.002011990175
15,10711,1.000000276,0.3584775292,77,77,0.0006368701579
16,10764,1.000000033,0.5004961523,77,77,0.001534477342
17,10820,0.9999998613,1.573165683,77,77,0.00503172446
18,10862,1.000000201,0.2161669461,77,77,0.01079924684
19,10906,0.9999999776,0.2022592813,77,77,0.001939899405
20,10951,0.9999998976,0.1855111773,77,77,0.001956285676
21,11010,0.9999998383,0.1653390886,77,77,0.001418325701
22,11130,0.9999997718,0.1994535096,77,77,0.005613378249
23,11269,1.000000146,1.074259768,77,77,0.05465760082
24,11273,0.9999999213,0.1822911551,77,77,0.007434273139
25,11276,0.9999999503,11.05710238,77,77,0.002486803336
26,11303,0.9999999645,0.1603663048,77,77,0.0008385075489
27,11307,0.9999999288,2.061056486,77,77,0.003187880386
28,11424,0.9999999715,0.1572886627,77,77,0.000878139108
29,11512,0.9999999941,0.1991444751,77,77,0.0002668040397
30,11550,1.000000233,0.1939321802,77,77,6.948210648e-05
31,11574,1.000000127,0.1592646663,77,77,0.0008395047626
32,11598,0.9999999452,0.4911823405,77,77,7.142268441e-05
33,11612,1.000000002,7.801252756,77,77,0.0008234106353
34,11652,1.000000195,0.1645374054,77,77,3.282710168e-05
35,11689,1.000000175,0.4371844862,77,77,0.003036740003
36,11901,1,0.1656910378,77,77,0.003244235646
37,11902,0.9999999714,0.1921825114,77,77,0.00628033001
38,11975,0.9999998691,0.2806919639,77,77,0.003152606543
39,12026,0.9999999807,2.549872538,77,77,0.003324589692
40,12031,0.9999998594,0.1797475634,77,77,0.001278443378
41,12072,0.9999998945,0.2705371652,77,77,0.002708538203
42,12128,0.9999998994,0.18080013,77,77,0.0002029860334
43,12131,0.9999998342,0.2921030146,77,77,0.001220889972
44,12157,0.9999999923,0.1655962155,77,77,0.0005575568066
45,12260,0.9999998421,0.247228844,77,77,0.0009689162835
46,12262,0.999999952,0.2044759438,77,77,0.0008140003774
47,12380,1.000000181,1.031458413,77,77,0.008812949993
48,12535,0.99999996,0.3820630524,77,77,0.007636693772
49,12611,1.000000124,2.06820151,77,77,0.00554993283
50,12676,1.000000231,0.8827761063,77,77,0.0005975537933
51,12761,0.9999999718,0.345333235,77,77,0.002147175372
52,12805,1.000000085,0.1950930886,77,77,0.006478459109
53,12814,0.999999863,0.3876896135,77,77,0.0006014197133
54,13018,1.000000245,0.16707207,77,77,0.001589967636
55,13062,0.9999997374,0.160963837,77,77,3.050832856e-05
56,13083,0.9999998498,0.166286895,77,77,0.0003457688144
57,13398,0.9999999001,7.24002233,77,77,0.003895704867
58,13514,1.000000029,11.59021737,77,77,0.00713925669
59,13559,0.9999999879,0.2264866485,77,77,0.008138682693
60,13567,0.9999998425,1.741715198,77,77,0.0004463268269
61,13623,1.000000195,0.1659495796,77,77,0.0009850685019
62,13629,1.000000182,0.242307952,77,77,0.003050940577
63,13650,1.000000005,0.1669134204,77,77,0.004041676875
64,13674,1.000000101,0.1610562436,77,77,0.0002834759944
65,13702,0.9999998908,7.256502807,77,77,0.001430266886
66,13734,0.9999999803,0.2016977498,77,77,0.0002296596649
67,13851,1.000000079,0.1657957864,77,77,0.006433455739
68,13898,0.999999891,1.094495967,77,77,0.009855081327
69,13904,0.9999999,1.225449752,77,77,0.001014991547
70,13935,1.000000189,1.006811216,77,77,0.00876984559
71,14064,1.00000012,0.1620667459,77,77,0.0006747096777
72,14175,0.9999999041,0.1577583022,77,77,0.00679304637
73,14335,1.000000163,0.2239773996,77,77,0.0002305976668
74,14351,0.9999999939,0.2578380093,77,77,0.007131666411
75,14381,0.9999999962,0.3047189559,77,77,8.531614731e-05
76,14413,0.9999999839,0.7546445443,77,77,0.0005438888911
