metric_index,dynamic_results_oa_1_differentgraph,dynamic_results_oa_2_differentgraph,dynamic_results_oa_3_differentgraph,dynamic_results_oa_4_differentgraph,dynamic_results_oa_1702_differentgraph,dynamic_results_oa_1705_differentgraph,dynamic_results_oa_1707_differentgraph,dynamic_results_oa_1710_differentgraph
test_mae__basegraph__gcn,2173.056152,7060.746582,4465.879395,3453.413086,678.995483,490.820923,813.113403,829.790649
test_rmse__basegraph__gcn,4303.308594,12428.396484,7978.948730,7675.025391,1086.037476,814.922974,1259.496582,1525.713501
test_mape__basegraph__gcn,6.165507,27.907845,13.425659,10.255518,23.777190,21.452083,16.319312,29.772201
test_mae__basegraph__gat,2201.636963,6965.808105,5659.562012,4162.285156,600.383667,633.726501,604.184204,815.916321
test_rmse__basegraph__gat,4028.775391,11392.698242,9674.799805,8825.689453,993.832397,1620.930420,967.072937,1537.844482
test_mape__basegraph__gat,7.090458,27.057055,16.203390,11.966492,21.250443,27.689546,12.767966,31.268063
test_mae__basegraph__graphsage,1606.235474,6749.661133,3753.968994,3293.653076,542.614624,430.982056,538.327393,712.252319
test_rmse__basegraph__graphsage,2956.719238,12707.972656,7158.170410,6921.207520,933.017700,760.671509,1020.690247,1403.687256
test_mape__basegraph__graphsage,5.625274,21.210144,10.383118,8.755215,17.948668,17.138283,10.963148,24.588820
test_mae__adaptiveonly__gcn,1563.637817,6573.961914,4208.019531,3327.473877,545.676880,467.842957,663.112610,665.576294
test_rmse__adaptiveonly__gcn,2810.491943,12805.535156,7810.538574,7016.124512,934.934570,784.492493,1307.151123,1268.807373
test_mape__adaptiveonly__gcn,5.610371,18.018112,11.026848,8.721247,17.954284,18.877894,13.335441,22.844838
test_mae__adaptiveonly__gat,1602.470215,6427.442383,3855.399170,3341.450684,582.754456,466.757050,598.873108,847.862427
test_rmse__adaptiveonly__gat,2822.719238,11968.509766,7492.473633,6963.211914,991.921021,746.118469,1049.283936,1584.001709
test_mape__adaptiveonly__gat,5.383682,19.932656,10.562196,8.850791,21.417712,20.837991,12.625636,32.481238
test_mae__adaptiveonly__graphsage,1652.477783,6418.241211,3822.817871,3120.530518,559.615662,405.928284,548.410828,734.097351
test_rmse__adaptiveonly__graphsage,2933.680176,12604.982422,7211.388672,6395.971680,1000.445068,726.943726,1094.568359,1517.514282
test_mape__adaptiveonly__graphsage,5.577078,18.640560,10.202499,8.089274,17.525306,15.661457,11.148462,22.888094
test_mae__hybrid__gcn,2251.782471,7855.193848,4236.319824,3320.559814,693.189880,590.678040,759.313049,882.446777
test_rmse__hybrid__gcn,4522.716309,13922.803711,7988.780273,7131.251465,1125.130615,955.833740,1111.862061,1730.716797
test_mape__hybrid__gcn,6.381676,30.847436,12.925780,9.976851,25.236404,25.612220,16.855711,28.813732
test_mae__hybrid__gat,1835.754150,7174.446777,5435.388672,3805.750000,643.634766,498.495056,622.080505,767.352905
test_rmse__hybrid__gat,3369.338623,12070.370117,9396.469727,8078.225586,1087.609253,776.204102,967.553528,1421.830688
test_mape__hybrid__gat,5.924499,26.359087,14.903438,11.402791,22.144504,20.286919,12.763160,29.144859
test_mae__hybrid__graphsage,1824.718140,7908.182129,3813.058350,3342.054688,526.549255,410.892670,605.821655,743.097351
test_rmse__hybrid__graphsage,3346.267578,14468.452148,7219.770508,6938.151367,907.996033,734.372192,1009.925049,1503.961670
test_mape__hybrid__graphsage,5.717038,25.448924,10.092602,8.783801,17.098007,16.279127,12.117622,24.670497
